Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
InputSES-V5ChIP-Seq_S2_R1_001 - polya	(1, 0.01978665148722963)	(2, 0.04211398528733563)	(3, 0.05900351289740281)	(4, 0.07892693847325384)	(5, 0.09334624314943145)	(6, 0.1108906285171405)	(7, 0.12436494858102479)	(8, 0.14057889508668928)	(9, 0.15230416468396046)	(10, 0.18966089848888254)	(15, 0.24885838191196666)	(20, 0.3034503087509264)	(25, 0.357827541717444)	(30, 0.4087804488652041)	(35, 0.4583788780686769)	(40, 0.5082864996058212)	(45, 0.5591001458633486)	(50, 0.6078862198737973)	(55, 0.6594575116889001)	(60, 0.7102927102270586)	(65, 0.7583833087202144)	(70, 0.8078118064802486)	(75, 0.8559264440556469)	(80, 0.9021229286548638)	(85, 0.9497509820483179)	(90, 0.9946501851403078)	(95, 1.0427026526754235)	(100, 1.0888759271262682)	(105, 1.1340892961551519)	(110, 1.1781645389799311)	(115, 1.2214580971648927)	(120, 1.2660166084361346)	(125, 1.3095969777402658)	(130, 1.3516181224341128)	(135, 1.3945544101209175)	(140, 1.410957353549041)
InputSES-V5ChIP-Seq_S2_R2_001 - polya	(1, 0.03149119773773999)	(2, 0.06537386969167847)	(3, 0.10178893461978897)	(4, 0.14393193259258974)	(5, 0.18777424499977763)	(6, 0.2299545449967479)	(7, 0.2723213551145655)	(8, 0.3162507055781488)	(9, 0.3587460004458835)	(10, 0.49354639752178614)	(15, 0.722288212266091)	(20, 0.9288336647618181)	(25, 1.1163376773198344)	(30, 1.2818475874936592)	(35, 1.4352219058043483)	(40, 1.567327438867474)	(45, 1.690030375038281)	(50, 1.80323538692167)	(55, 1.9117693564451703)	(60, 2.0173365716463914)	(65, 2.128237976303848)	(70, 2.241787824677336)	(75, 2.3325013738542735)	(80, 2.4209577361020225)	(85, 2.5068576662933566)	(90, 2.587370355260748)	(95, 2.6700374433573946)	(100, 2.7484264037487374)	(105, 2.8229392693619366)	(110, 2.8998195701090923)	(115, 2.9763583501016293)	(120, 3.048847788137103)	(125, 3.1175257882363256)	(130, 3.1837277628645664)	(135, 3.2498509887751164)	(140, 3.274512600354361)
InputSES-V5ChIP-Seq_S2_R2_001 - polyg	(1, 2.3631412565070793)	(2, 2.399999801055871)	(3, 2.4019519403207403)	(4, 2.403269945174728)	(5, 2.404604528706125)	(6, 2.4059142442214085)	(7, 2.4079161195185037)	(8, 2.4103863424523935)	(9, 2.4157246765779803)	(10, 2.4432660044231085)	(15, 2.4664222720936473)	(20, 2.4703613658459433)	(25, 2.472352465002723)	(30, 2.4739780043226416)	(35, 2.475859684208524)	(40, 2.4775216966187417)	(45, 2.479171275020902)	(50, 2.4836417153841466)	(55, 2.492427585476863)	(60, 2.4975222130445425)	(65, 2.499805925857585)	(70, 2.501995140209398)	(75, 2.5057352898327903)	(80, 2.519331463175628)	(85, 2.5348200925446642)	(90, 2.5470344331254906)	(95, 2.5570678486932086)	(100, 2.564525766725492)	(105, 2.570586102252226)	(110, 2.5766862266047403)	(115, 2.5829322433184507)	(120, 2.5886278479421945)	(125, 2.594706420014078)	(130, 2.601736608169218)	(135, 2.610416374726519)	(140, 2.6167287061498645)
SES-V5ChIP-Seq1_S5_R2_001 - polya	(1, 0.03713070640127849)	(2, 0.07266395273675459)	(3, 0.11711976448250298)	(4, 0.17102721495091547)	(5, 0.2282661205992919)	(6, 0.28420111653583824)	(7, 0.3402692341445347)	(8, 0.3984638851314254)	(9, 0.4545934435118835)	(10, 0.6301229016824429)	(15, 0.9270272391176191)	(20, 1.1897479791703494)	(25, 1.4294953319861647)	(30, 1.6424627004168109)	(35, 1.8395681096043295)	(40, 2.0026073415509913)	(45, 2.1535365973834355)	(50, 2.292661715609987)	(55, 2.424984657727285)	(60, 2.554347519996155)	(65, 2.683459840451287)	(70, 2.8139450208176693)	(75, 2.9252449788638626)	(80, 3.0335411658461533)	(85, 3.1395954473343872)	(90, 3.23712311505259)	(95, 3.3353041029771915)	(100, 3.4305557314392465)	(105, 3.5224547417888417)	(110, 3.61916319921689)	(115, 3.716662194574937)	(120, 3.810269941054748)	(125, 3.8982886253299753)	(130, 3.983685836676707)	(135, 4.070440206404128)	(140, 4.10399096383743)
SES-V5ChIP-Seq1_S5_R2_001 - polyg	(1, 2.348276536858131)	(2, 2.4019006771011986)	(3, 2.4041842257850057)	(4, 2.4060206221854368)	(5, 2.407812644695151)	(6, 2.4098913908064192)	(7, 2.4126698790405285)	(8, 2.415946720201149)	(9, 2.421264760334739)	(10, 2.443915924857527)	(15, 2.463856185995143)	(20, 2.468813773601064)	(25, 2.4719178979255103)	(30, 2.474478612757487)	(35, 2.4773635983293163)	(40, 2.480320947476776)	(45, 2.4832318747077933)	(50, 2.4886680176582145)	(55, 2.497103835621086)	(60, 2.5031762318968607)	(65, 2.507318705264078)	(70, 2.5113062113514077)	(75, 2.5167089032149805)	(80, 2.5290066150206916)	(85, 2.5426812827891054)	(90, 2.5527152434930214)	(95, 2.561385219063829)	(100, 2.5686277207040416)	(105, 2.5750974339705412)	(110, 2.5820873457712894)	(115, 2.5896288591674086)	(120, 2.5970836728078197)	(125, 2.604662050666996)	(130, 2.61272239724688)	(135, 2.6213739405861594)	(140, 2.6269821176975126)
SES-V5ChIP-Seq2_S6_R1_001 - polya	(1, 0.01940681436488038)	(2, 0.04269499160273684)	(3, 0.06014295335663023)	(4, 0.08045105797665862)	(5, 0.09466818490463841)	(6, 0.11235237192701816)	(7, 0.1259153365730357)	(8, 0.1424547396019815)	(9, 0.15477116167737096)	(10, 0.19360586896955048)	(15, 0.25452073381889617)	(20, 0.30944274531848764)	(25, 0.3657079700370416)	(30, 0.41822193749203196)	(35, 0.46982952676301465)	(40, 0.5218659557521725)	(45, 0.5732598520110475)	(50, 0.622860616770366)	(55, 0.6766690986966617)	(60, 0.7292811904939464)	(65, 0.7793384151566783)	(70, 0.8295235648878831)	(75, 0.8784628988954397)	(80, 0.9252529463832602)	(85, 0.9743841679935258)	(90, 1.0203630542517133)	(95, 1.0695000906378185)	(100, 1.1163010408303384)	(105, 1.1623395285408822)	(110, 1.2079797041064093)	(115, 1.2537499852813485)	(120, 1.2999963512281607)	(125, 1.3463706422434452)	(130, 1.391616139898855)	(135, 1.4379264683799031)	(140, 1.4556055674734232)
SES-V5ChIP-Seq2_S6_R2_001 - polya	(1, 0.02907387919832267)	(2, 0.06189102034342938)	(3, 0.09680148079081533)	(4, 0.13800280184973834)	(5, 0.18028712490879886)	(6, 0.22082701521596004)	(7, 0.2628060625434382)	(8, 0.3049486504414069)	(9, 0.3471421176279727)	(10, 0.4752903281234396)	(15, 0.6952538491272093)	(20, 0.895341739464026)	(25, 1.0785115394953384)	(30, 1.2433720641015076)	(35, 1.3986970831776064)	(40, 1.53106464039173)	(45, 1.6537694938542908)	(50, 1.7677914332942724)	(55, 1.877990884466655)	(60, 1.9854319513500964)	(65, 2.09405123718805)	(70, 2.201621682833924)	(75, 2.2952541107921225)	(80, 2.3862211908748145)	(85, 2.4746290427410735)	(90, 2.555391918072134)	(95, 2.639082533038466)	(100, 2.719682594646016)	(105, 2.797159394780686)	(110, 2.877015165080759)	(115, 2.95759923605475)	(120, 3.035237396218971)	(125, 3.109117030649829)	(130, 3.179076052470793)	(135, 3.249344711105219)	(140, 3.2764808162549732)
SES-V5ChIP-Seq2_S6_R2_001 - polyg	(1, 2.006984417999813)	(2, 2.0463395477296427)	(3, 2.0488217301661993)	(4, 2.0509695629919755)	(5, 2.0529829291264594)	(6, 2.0553052052274254)	(7, 2.0587359229728275)	(8, 2.062570040792106)	(9, 2.0671128344168443)	(10, 2.0863713719978136)	(15, 2.103551854063082)	(20, 2.110227216727017)	(25, 2.1145105259799095)	(30, 2.1179921230139085)	(35, 2.121973063923139)	(40, 2.125551331605473)	(45, 2.1295657074757814)	(50, 2.135838396912819)	(55, 2.143843162703097)	(60, 2.150181995215312)	(65, 2.1552343085730006)	(70, 2.160132530370938)	(75, 2.167094997591956)	(80, 2.178326963973248)	(85, 2.1876531375730894)	(90, 2.1955452420814745)	(95, 2.203043395526722)	(100, 2.2097558273866347)	(105, 2.216365046975393)	(110, 2.223838487623322)	(115, 2.2319777201048927)	(120, 2.240654092504652)	(125, 2.24953325521182)	(130, 2.259334786736554)	(135, 2.270663423766181)	(140, 2.2786979902826374)
